# OBF -> DEOB per-class MEMBER map for the deob subsystem packages
# (client.{util,net,data,world,scene,ui,audio,shell,nativeapi}; Mudclient EXCLUDED).
# The reconcile phase applies this dictionary: given a drift call site `receiver.X(args)`
# where the receiver's DEOB type is known and X is the obf short-name (or a stale deob name),
# look up the row keyed by (deob_class, obf_member, arg_count_or_desc) -> deob_member.
#
# COLUMNS:
#   deob_class          deob class that OWNS the member (receiver's deob type)
#   obf_member          obf member name as called at drift sites (single letter etc.);
#                       for stale-deob-name drifts the note carries "(stale: <oldname>)"
#   arg_count_or_desc   ''=field; for methods the JVM-ish param descriptor / arg list
#                       (disambiguates overloaded obf names like a/b/e). OBF arg count may
#                       differ from deob arg count where dummy/guard params were dropped.
#   deob_member         the correct deob member name as DECLARED in the owning class
#   kind                field | method | ctor
#   note                provenance / drift kind / behavioral-bug flag / FLAG=manual-resolve
#
# GROUND TRUTH: each deob file's // obf comments + decompiled/normalized-clean/*.java
# (obf names + descriptors) + javap of rsclassic-1091943135.jar + docs/NAMING.md.
# obf class map: see docs/NAMING.md. NOTE obf `n` is a MERGED class -> split into
# Scanline (instance span fields e/k/d/l) + FontWidths (static globals).
#
# UNIMPORTED CROSS-PACKAGE ALIASES (type-level, not member drift; fix the import/qualifier):
#   client.scene.LoaderThread   -> client.shell.LoaderThread   (ClientStream.java:13 wrong package)
#   client.shell.Mudclient / client.Mudclient  -> dangling refs to the EXCLUDED Mudclient class
#       (SurfaceSprite.java:5/45, Timer.java:3) — out of subsystem scope; resolve when Mudclient lands.
#   Scene/GameModel frustum globals: 6 statics live on obf classes m/da/oa/aa/nb (see frustum* rows);
#       Scene reads them by raw obf field, GameModel by deob name — must UNIFY (rows below give the names).
#
# BARE OBF-CLASS RECEIVERS (Scene render path + World/Panel/Utility static-alias sites): the call sites
# write `aa.b`/`wb.a`/`m.j`/etc. = an OBF CLASS used as a static receiver. Resolve owner via NAMING.md
# (aa=BZip, wb=MessageList, m=SocketFactory, da=ClientStream, oa=NameHash, nb=DataStore, gb=ProxySocketFactory,
#  jb=DownloadWorker, p=Timer, cb=CacheUpdater, ia=SpriteScaler, ua=Surface, t=EntityDef, ib=StreamBase,
#  e=GameShell, ba=SurfaceSprite, k=World, db=LinkedQueue, u=StringCodec) THEN rename the member via its row.
#
deob_class	obf_member	arg_count_or_desc	deob_member	kind	note
DecodeBuffer	t		huffBase	field	
DecodeBuffer	t	(stale: base)	huffBase	field	BZip2 state; SpriteDecoder call-site name "base" -> obf ac.t -> declared huffBase
DecodeBuffer	u		huffLimits	field	
DecodeBuffer	u	(stale: limit)	huffLimits	field	BZip2 state; SpriteDecoder call-site name "limit" -> obf ac.u -> declared huffLimits
DecodeBuffer	v		symbolGroupPresent	field	
DecodeBuffer	v	(stale: inUse16)	symbolGroupPresent	field	BZip2 state; SpriteDecoder call-site name "inUse16" -> obf ac.v -> declared symbolGroupPresent
DecodeBuffer	w		cumulativeFreq	field	
DecodeBuffer	w	(stale: cftab)	cumulativeFreq	field	BZip2 state; SpriteDecoder call-site name "cftab" -> obf ac.w -> declared cumulativeFreq
DecodeBuffer	x		chatFilterCache	field	
DecodeBuffer	y		outputRemaining	field	
DecodeBuffer	y	(stale: decompSize)	outputRemaining	field	BZip2 state; SpriteDecoder call-site name "decompSize" -> obf ac.y -> declared outputRemaining
# ===== ErrorHandler  (obf i, pkg client.util) =====
ErrorHandler	a	(stale: id)	instanceValue	field	entry.id STALE -> ErrorHandler.instanceValue (obf i.a instance)
ErrorHandler	z		SIG_CONSTRUCTOR	field	
ErrorHandler	z		ARG_NULL	field	
ErrorHandler	z		ARG_OBJECT	field	
ErrorHandler	z		SIG_CHAT_CIPHERS	field	
ErrorHandler	z		SIG_ENCODE_CP1252	field	
ErrorHandler	z		SIG_TO_STRING	field	
# ===== Globals  (obf l, pkg client.util) =====
Globals	a		paramNames	field	
Globals	b		applet	field	
Globals	c		strings	field	
# ===== IntHolder  (obf ka, pkg client.util) =====
IntHolder	a		clientTag	field	
IntHolder	b		bufferOffset	field	
IntHolder	c		scratchInts	field	
# ===== LinkedQueue  (obf db, pkg client.util) =====
LinkedQueue	a		DEAD_COUNTER_ITERATE	field	
LinkedQueue	b		iterCursor	field	
LinkedQueue	c		DEAD_COUNTER_PEEK	field	
LinkedQueue	d		sharedInt	field	
LinkedQueue	e		DEAD_COUNTER_IS_SEP	field	
LinkedQueue	f		errorHandler	field	
LinkedQueue	g		DEAD_G	field	
LinkedQueue	h		DEAD_COUNTER_ENQUEUE	field	
LinkedQueue	i		sharedByteArray	field	
LinkedQueue	j		sharedIntArray	field	
LinkedQueue	k		sentinel	field	
LinkedQueue	l		sharedIntArray2	field	
LinkedQueue	a	(StreamBase,boolean) LibZ	add	method	drift this.childChains.add(child,false): enqueue; obf db.a(ib,boolean)
LinkedQueue	a	(byte) B->ib	iterateFirst	method	drift childChains.iterateFirst((byte)x): obf db.a(byte) start iteration
LinkedQueue	b	(byte) B->ib	iterateContinue	method	drift stageQueue.iterateContinue((byte)111): obf db.b(byte) continue iteration
# ===== ListNode  (obf g, pkg client.util) =====
ListNode	a		next	field	
ListNode	b		status	field	
ListNode	c		intArg2	field	
ListNode	c	(stale: auxArg)	intArg2	field	node.auxArg STALE -> ListNode.intArg2 (obf g.c)
ListNode	d		result	field	
ListNode	d	(stale: data)	result	field	httpJob.data STALE -> ListNode.result (obf g.d, holds DataInputStream)
ListNode	e		intArg	field	
ListNode	f		payload	field	
ListNode	f	(stale: obj)	payload	field	node.obj STALE -> ListNode.payload (obf g.f)
ListNode	g		type	field	
ListNode	g	(stale: opcode)	type	field	node.opcode STALE -> ListNode.type (obf g.g)
# ===== StreamFactory  (obf na, pkg client.util) =====
StreamFactory	a		deadGuardArray	field	
StreamFactory	b		createFactoryCallCount	field	
StreamFactory	c		lookupRecordCallCount	field	
StreamFactory	e		engineArraySize	field	
# ===== Timer  (obf p, pkg client.util) =====
Timer	a		legacyStringsA	field	
Timer	b		timeCallCount	field	
Timer	c		legacyStringsC	field	
Timer	d		legacyFlag	field	
Timer	e		legacyStringsE	field	
Timer	f		spanCallCount	field	
Timer	z		ERROR_SIGNATURES	field	
Timer	a	(15 args; 64px opaque span)	renderAffineSpan	method	Scene p.a@2221 64px writer; obf p.a(...)
# ===== BitBuffer  (obf ja, pkg client.net) =====
BitBuffer	G		PROF_INIT	field	
BitBuffer	H		PROF_GET	field	
BitBuffer	I		PROF_FINISH	field	
BitBuffer	J		PROF_READ	field	
BitBuffer	K		RSA_MODULUS	field	
BitBuffer	L		UNUSED_L	field	
BitBuffer	M		bitPos	field	
BitBuffer	N		UNUSED_N	field	
BitBuffer	O		ERROR_TAGS	field	
# ===== Buffer  (obf tb, pkg client.net) =====
Buffer	A		_prof_putString	field	
Buffer	B		_prof_getUnsignedShort	field	
Buffer	C		_prof_putShort	field	
Buffer	D		_prof_putBytes	field	
Buffer	E		_prof_putByte	field	
Buffer	F		data	field	
Buffer	G		ERROR_SIGS	field	
Buffer	g		_prof_getLong	field	
Buffer	h		_prof_putVariableLengthShort	field	
Buffer	i		_prof_getBytes	field	
Buffer	j		_prof_rsaEncrypt	field	
Buffer	k		_prof_patchShortBack	field	
Buffer	l		_junkArray	field	
Buffer	m		_prof_teaDecrypt	field	
Buffer	n		_prof_getSmartUnsigned	field	
Buffer	o		_prof_getString	field	
Buffer	p		_prof_getUnsignedByte	field	
Buffer	q		_prof_putInt3	field	
Buffer	r		_prof_getInt	field	
Buffer	s		_prof_putInt	field	
Buffer	t		_prof_verifyCrc	field	
Buffer	u		_prof_getSignedShort	field	
Buffer	v		_prof_readRawByte	field	
Buffer	w		offset	field	
Buffer	w	(stale: cursor)	offset	field	buf.cursor STALE -> Buffer.offset (obf tb.w)
Buffer	x		_prof_putStringPrefixed	field	
Buffer	y		_prof_getSmartSigned	field	
Buffer	z		_prof_toByteArray	field	
Buffer	?	(int)	decompress	method	STALE payload.decompress(0): verify against Buffer obf method (BZip wrapper)
Buffer	b	(int) I->I	readInt	method	drift crcBuffer.readInt(-129) STALE; obf tb.b(int) sentinel -> getInt
Buffer	b	(int,byte) IB	writeSmartInt	method	drift buf.writeSmartInt(len,(byte)-88); obf tb.b(int,byte)
# ===== ChatCipher  (obf v, pkg client.net) =====
ChatCipher	i	(stale: id)	value	field	cipher.id STALE -> ChatCipher.value (obf v.i instance)
# ===== ClientStream  (obf da, pkg client.net) =====
ClientStream	H		profCountAvailable	field	
ClientStream	I		profCountReportProgress	field	
ClientStream	K		profCountK	field	
ClientStream	K	static int	frustumNearZ	field	frustum global obf da.K; Scene maxX; GameModel project() = ClientStream.frustumNearZ
ClientStream	L		profCountDownload	field	
ClientStream	M		profCountM	field	
ClientStream	P		profCountReadStream	field	
ClientStream	R		profCountRun	field	
ClientStream	S		profCountWriteStreamBytes	field	
ClientStream	V		profCountClose	field	
ClientStream	bb		profCountBB	field	
ClientStream	cb		profCountPackRegion	field	
ClientStream	eb		profCountReadStreamBytes	field	
ClientStream	rgb	(int b,int r,int g) III->I	rgb	method	MISSING: add  static int rgb(int b,int r,int g){return -1 - b/8 - (r/8)*1024 - (g/8)*32;}  (B,R,G)-order packer; World ground-ramp + Scene.java:1016 / clean da.java:288
# ===== DownloadWorker  (obf jb, pkg client.net) =====
DownloadWorker	a		downloadState	field	
DownloadWorker	b		loaderThread	field	
DownloadWorker	c		httpJob	field	
DownloadWorker	d		_profDrawSpan	field	
DownloadWorker	e		_profTick	field	
DownloadWorker	f		tcpJob	field	
DownloadWorker	g		resourceUrl	field	
DownloadWorker	h		buffer	field	
DownloadWorker	i		_profGetBuffer	field	
DownloadWorker	j		_profReplaceAll	field	
DownloadWorker	k		unusedIntArray	field	
DownloadWorker	l		readerThreadJob	field	
DownloadWorker	m		_profRun	field	
DownloadWorker	n		_profCleanup	field	
DownloadWorker	o		halfPixelModeFlag	field	
DownloadWorker	p		unusedP	field	
DownloadWorker	q		inputStream	field	
DownloadWorker	a	(byte) B->tb	getPayload	method	STALE worker.getPayload((byte)-120) -> returns Buffer (obf jb.a(byte):tb)
DownloadWorker	a	(int) I->Z	isComplete	method	STALE worker.isComplete(-2) -> obf jb.a(int):boolean
DownloadWorker	a	(15 args; 64px translucent span)	drawTexturedSpanUnrolled	method	Scene jb.a@2219 64px writer; obf jb.a(...)
# ===== Packet  (obf b, pkg client.net) =====
Packet	C		profFlushPacket	field	
Packet	D		profAvailableStub	field	
Packet	F		profReadStreamDispatch	field	
Packet	a		profTelemetry	field	
Packet	b		profReadPacketInto	field	
Packet	i		profWritePacketBump	field	
Packet	l		profReadBytes	field	
Packet	n		profCloseStream	field	
Packet	o		profHasPacket	field	
Packet	p		profReadStreamStub	field	
Packet	r		profIsaacCommand	field	
Packet	s		profReadPacketBody	field	
Packet	t		profFormatString	field	
Packet	u		profSeedIsaac	field	
Packet	w		profWritePacket	field	
Packet	x		profFinishPacket	field	
Packet	y		profReadStreamBytes	field	
# ===== ProxySocketFactory  (obf gb, pkg client.net) =====
ProxySocketFactory	l		_profileConnectViaProxy	field	
ProxySocketFactory	m		_profileGetProxyList	field	
ProxySocketFactory	n		_deadBrandTag	field	
ProxySocketFactory	o		_profileConnectViaTunnel	field	
ProxySocketFactory	p		_deadAntitamperFlag	field	
ProxySocketFactory	q		proxySelector	field	
ProxySocketFactory	r		_profileConnect	field	
ProxySocketFactory	s		_deadIntArray	field	
ProxySocketFactory	t		_profileJunkRegistration	field	
ProxySocketFactory	u		_profileFormatStackTrace	field	
ProxySocketFactory	a	(int,int,byte,int,int,int,int[],int,int,int,int,int,int[],int,int) 15-arg	_junkRasterScanline	method	Scene gb.a@2212 128px translucent texture writer; obf gb.a static
# ===== SocketFactory  (obf m, pkg client.net) =====
SocketFactory	b	static byte[][]; font glyph data	b	field	SIG-DRIFT: Surface GameFonts.data must point at SocketFactory.b (obf m.b, font bitmap data)
SocketFactory	cb		globalArchive	field	
SocketFactory	fb		globalColorModel	field	
SocketFactory	j	static int	frustumFarZ	field	frustum global obf m.j; Scene uses as minX accumulator; GameModel project() = SocketFactory.frustumFarZ
SocketFactory	lb		minRenderY	field	
SocketFactory	ua		fontGlyphData	field	
# ===== StreamBase  (obf ib, pkg client.net) =====
StreamBase	a		next	field	
StreamBase	a	(stale: nextNode)	next	field	x.nextNode STALE -> StreamBase.next (obf ib.a)
StreamBase	b		_profilingCounter_b	field	
StreamBase	c		BASE_URL	field	
StreamBase	d		_deadIntArray_d	field	
StreamBase	e		prev	field	
StreamBase	f		_profilingCounter_f	field	
StreamBase	a	(int) I	detach	method	drift node.a(-27331): detach/unlink sentinel; obf ib.a(int)
# ===== StringCodec  (obf u, pkg client.net) =====
StringCodec	a		DEAD_INT_ARRAY	field	
StringCodec	b		DEAD_STRING_ARRAY	field	
StringCodec	c		lookupCallCount	field	
StringCodec	d		DEAD_IMAGE_CONSUMER	field	
StringCodec	e		sleepCallCount	field	
StringCodec	f		writeStringCallCount	field	
StringCodec	g		STATUS_NOT_FOUND	field	
StringCodec	z		ERROR_CTX	field	
# ===== TextEncoder  (obf h, pkg client.net) =====
TextEncoder	a		registrySize	field	
TextEncoder	b		scratchIntArray1	field	
TextEncoder	c		scratchIntArray2	field	
TextEncoder	d		encodeCallCount	field	
TextEncoder	e		scratchStrings	field	
TextEncoder	z		OBFSTRINGS	field	
# ===== ArchiveReader  (obf ob, pkg client.data) =====
ArchiveReader	a		maxEntries	field	
ArchiveReader	b		indexStore	field	
ArchiveReader	c		cacheType	field	
ArchiveReader	d		_profileStore	field	
ArchiveReader	e		_profileWrite	field	
ArchiveReader	f		dataStore	field	
ArchiveReader	g		_profileToString	field	
ArchiveReader	h		sectorAlloc	field	
ArchiveReader	i		_profileLoad	field	
ArchiveReader	j		loadedArchives	field	
# ===== BZip  (obf aa, pkg client.data) =====
BZip	a		decodeCallCount	field	
BZip	b		deadScratch	field	
BZip	b	static int	frustumMaxY	field	frustum global obf aa.b; Scene minZ; GameModel project() = BZip.frustumMaxY
BZip	c		entityFlags	field	
BZip	d		VIEWPORT_HEIGHT_RATIO	field	
BZip	e		nextPow2CallCount	field	
BZip	f		renderFlag	field	
BZip	f	static int	frustumMaxX	field	frustum global obf aa.f; Scene minY; GameModel project() = BZip.frustumMaxX
BZip	g		codeValues	field	
BZip	h		encodeCallCount	field	
BZip	i		codeLengths	field	
BZip	j		trieNodes	field	
BZip	k		entityNames	field	
BZip	l		entityLimit	field	
# ===== CachePath  (obf r, pkg client.data) =====
CachePath	a		homeDir	field	
CachePath	b		fileCache	field	
CachePath	c		cacheSlot	field	
CachePath	d		initialized	field	
CachePath	e		clientSubDir	field	
# ===== CacheUpdater  (obf cb, pkg client.data) =====
CacheUpdater	a		_profilePerspective	field	
CacheUpdater	b		_profileAffine	field	
CacheUpdater	c		archiveNames	field	
CacheUpdater	d		_profileSetBzip	field	
CacheUpdater	e		contentNames	field	
CacheUpdater	f		_profileDownload	field	
CacheUpdater	g		_profileSort	field	
CacheUpdater	z		STRINGS	field	
CacheUpdater	a	(16-arg perspective texture span)	drawTexturedScanlinePerspective	method	Scene cb.a@2214/2223 opaque 128px writer; obf cb.a static (also affine variant drawTexturedScanlineAffine)
# ===== DataStore  (obf nb, pkg client.data) =====
DataStore	y	static int	frustumMinY	field	frustum global obf nb.y; Scene maxZ; GameModel project() = DataStore.frustumMinY
# ===== EntityDef  (obf t, pkg client.data) =====
EntityDef	a		_profilerFillPixels	field	
EntityDef	b		examineText	field	
EntityDef	c		_profilerReadShort	field	
EntityDef	d		fieldIntF	field	
EntityDef	d	(stale: sortKey)	fieldIntF	field	entry.sortKey STALE -> EntityDef.fieldIntF (obf t.d)
EntityDef	e		fieldIntA	field	
EntityDef	f		_profilerSetFields	field	
EntityDef	g		modelCount	field	
EntityDef	h		modelNames	field	
EntityDef	i		fieldIntB	field	
EntityDef	j		fieldIntC	field	
EntityDef	k		_profilerExtract	field	
EntityDef	l		fieldIntD	field	
EntityDef	m		fieldIntE	field	
EntityDef	n		bytePool	field	
EntityDef	o		extraText	field	
EntityDef	p		name	field	
EntityDef	a	(int) I->I	getCount	method	drift EntityDef.getCount(65525): obf t.a(int) returns def count
EntityDef	a	(int) I->I	readSpriteId	method	drift EntityDef.readSpriteId(65525): SAME obf t.a(int) as getCount; verify overload/aliasing
EntityDef	a	(String,int,byte[],int)	readFully	method	drift EntityDef.a(STR+name+JM,-19675,jm,...): oracle Utility.readFully; FLAG potential wrong-owner
EntityDef	a	(8 args; gradient scanline, wideband skip)	fillPixelColumns16	method	Scene t.a gradient writer; obf t.a static
# ===== NameHash  (obf oa, pkg client.data) =====
NameHash	b	static int	frustumMinX	field	frustum global obf oa.b; Scene maxY; GameModel project() = NameHash.frustumMinX
# ===== NameTable  (obf ub, pkg client.data) =====
NameTable	a		recentNames	field	
NameTable	b		textureNames	field	
NameTable	c		modelNames	field	
NameTable	d		_profileFind	field	
NameTable	e		_profileSort	field	
NameTable	f		_profileReadInt	field	
NameTable	g		sortKeys	field	
NameTable	z		SIG_STRINGS	field	
# ===== RecordLoader  (obf f, pkg client.data) =====
RecordLoader	b		unusedErrorHandler	field	
RecordLoader	c		DEPOSIT_PROMPT_STRINGS	field	
RecordLoader	e		stringTable	field	
RecordLoader	f		intArray	field	
RecordLoader	z		KEY	field	
# ===== GameCharacter  (obf ta, pkg client.world) =====
GameCharacter	A		npcIdOrColourBottom	field	
GameCharacter	B		healthCurrent	field	
GameCharacter	C		message	field	
GameCharacter	D		animationNext	field	
GameCharacter	E		bubbleTimeout	field	
GameCharacter	F		waypointsY	field	
GameCharacter	G		healthMax	field	
GameCharacter	H		colourSkin	field	
GameCharacter	I		messageTimeout	field	
GameCharacter	J		skullVisible	field	
GameCharacter	K		currentY	field	
GameCharacter	L		ERROR_STRINGS	field	
GameCharacter	a		incomingProjectileSprite	field	
GameCharacter	b		serverIndex	field	
GameCharacter	c		chatSenderName	field	
GameCharacter	d		combatTimer	field	
GameCharacter	e		stepCount	field	
GameCharacter	f		CHAT_CIPHER_METADATA	field	
GameCharacter	g		COLOUR_SPRITE_BASE	field	
GameCharacter	h		attackingNpcServerIndex	field	
GameCharacter	i		currentX	field	
GameCharacter	j		bubbleItem	field	
GameCharacter	k		waypointsX	field	
GameCharacter	l		PROFILING_COUNTER_popcount	field	
GameCharacter	m		equippedItem	field	
GameCharacter	n		name	field	
GameCharacter	o		waypointCurrent	field	
GameCharacter	p		colourHair	field	
GameCharacter	q		colourTop	field	
GameCharacter	r		sharedNameTable	field	
GameCharacter	s		level	field	
GameCharacter	t		serverId	field	
GameCharacter	u		damageTaken	field	
GameCharacter	v		PROFILING_COUNTER_readFromStore	field	
GameCharacter	w		projectileRange	field	
GameCharacter	x		movingStep	field	
GameCharacter	y		animationCurrent	field	
GameCharacter	z		attackingPlayerServerIndex	field	
GameCharacter	a	(String,int,byte[],int) reads .jm into store	readFromStore	method	BEHAVIORAL: World.java:1382 calls EntityDef.a(...) (no such overload) -> should be GameCharacter.readFromStore (clean ta.a)
# ===== World  (obf k, pkg client.world) =====
World	?	static int	surfaceWidth	field	BEHAVIORAL: ImageLoader.loadBmpImage must write/read World.surfaceWidth (BMP width bytes 12-13), not imageWidthCarrier.imageWidth
World	A		wallsRoof	field	
World	B		routeVia	field	
World	E		localY	field	
World	F		terrainModels	field	
World	G		G	field	
World	H		memberWorld	field	
World	I		memberLandscapePack	field	
World	L		terrainHeight	field	
World	P		wallsEastwest	field	
World	Q		landscapePack	field	
World	R		tileDecoration	field	
World	U		surface	field	
World	Z		playerAlive	field	
World	ab		terrainHeightLocal	field	
World	bb		objectAdjacency	field	
World	c		scene	field	
